CGPA,Placement_Package_LPA
6.87,9.06
9.75,13.43
8.66,12.19
7.99,10.37
5.78,10.3
5.78,8.91
5.29,6.66
9.33,13.35
8.01,10.14
8.54,12.54
5.1,8.78
9.85,12.5
9.16,13.46
6.06,9.18
5.91,9.41
5.92,10.5
6.52,9.08
7.62,9.89
7.16,9.2
6.46,8.44
8.06,11.09
5.7,8.68
6.46,9.53
6.83,10.52
7.28,10.25
8.93,13.67
6.0,8.44
7.57,13.3
7.96,11.68
5.23,6.92
8.04,10.08
5.85,9.0
5.33,7.67
9.74,13.9
9.83,13.77
9.04,12.28
6.52,8.48
5.49,6.57
8.42,11.16
7.2,11.0
5.61,8.45
7.48,9.23
5.17,7.88
9.55,13.35
6.29,8.16
8.31,11.63
6.56,9.43
7.6,9.48
7.73,11.13
5.92,9.16
9.85,14.4
8.88,13.21
9.7,11.76
9.47,11.93
7.99,11.6
9.61,13.55
5.44,8.54
5.98,12.53
5.23,8.35
6.63,10.59
6.94,10.78
6.36,9.78
9.14,12.15
6.78,10.39
6.4,8.41
7.71,10.52
5.7,7.85
9.01,12.39
5.37,10.26
9.93,11.55
8.86,12.82
5.99,7.08
5.03,7.06
9.08,13.48
8.53,11.8
8.65,10.8
8.86,11.42
5.37,8.62
6.79,8.92
5.58,8.41
9.32,12.73
8.12,10.59
6.65,11.62
5.32,8.52
6.55,7.33
6.63,9.64
8.65,11.22
8.19,12.18
9.44,12.04
7.36,10.22
5.6,8.72
8.57,12.65
8.8,10.86
7.81,10.54
8.85,11.65
7.47,9.81
7.61,12.4
7.14,10.47
5.13,6.4
5.54,9.07
5.16,9.81
8.18,12.35
6.57,7.86
7.54,10.06
9.54,14.21
6.25,8.29
7.05,10.4
8.78,12.81
6.14,7.94
5.38,7.9
6.45,6.0
5.81,7.45
9.65,12.83
9.04,11.1
8.17,12.94
9.36,11.3
9.02,11.88
5.93,8.75
9.46,14.29
7.7,9.3
9.04,13.51
9.48,12.89
6.59,8.43
5.55,8.62
6.14,9.07
7.14,9.47
9.09,12.48
9.3,12.27
5.03,7.65
7.55,11.22
7.09,11.59
6.11,7.59
5.6,10.35
6.69,7.58
9.71,13.0
6.62,10.03
7.59,10.89
8.52,11.1
6.82,9.48
9.86,12.84
9.81,12.68
6.26,9.86
7.49,10.85
6.5,8.61
6.42,10.1
5.18,8.02
8.05,11.97
7.51,11.14
5.26,6.98
6.39,8.61
9.54,13.7
6.2,9.55
5.72,8.34
7.45,10.56
9.93,14.69
6.21,8.36
8.36,12.08
8.81,11.87
6.19,8.71
8.64,12.97
6.84,10.53
8.16,12.11
8.17,12.61
7.68,10.74
5.45,8.72
9.18,12.21
6.6,9.74
5.93,8.49
5.2,7.84
7.95,11.64
8.39,10.75
5.08,9.69
7.56,9.57
6.13,7.64
8.23,12.53
5.87,9.34
8.45,12.26
6.93,10.44
9.68,13.1
5.69,7.43
6.71,9.63
5.57,7.51
9.62,14.02
9.39,12.62
6.29,8.22
8.3,11.14
9.09,12.82
7.78,10.27
7.65,9.86
6.21,9.2
5.47,8.31
9.49,12.38
9.5,12.43
8.17,11.54
6.7,8.09
6.75,8.19
8.63,11.14
9.49,12.67
9.44,13.14
8.9,13.66
